director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres
Maggie Greenwald,songcatcher,Aidan Quinn,David Patrick Kelly,Jane Adams,Drama Music
Vera Farmiga,higher ground,Donna Murphy,Bill Irwin,Michael Chernus,Drama
Vijay Chandar,vaalu,Hansika Motwani,T.R. Silambarasan,Brahmanandam,Comedy Romance
Morgan Spurlock,the greatest movie ever sold,Quentin Tarantino,J.J. Abrams,Donald Trump,Comedy Documentary
Jonathan Wacks,ed and his dead mother,Steve Buscemi,Gary Farmer,Jon Gries,Comedy Horror
Khyentse Norbu,travelers and magicians,Tshewang Dendup,Lhakpa Dorji,Sonam Kinga,Adventure Drama
Ted Post,hang 'em high,Clint Eastwood,Bruce Dern,Alan Hale Jr.,Western
Richard Brooks,deadline - u.s.a.,Humphrey Bogart,Jim Backus,Kim Hunter,Crime Drama Film-Noir
Tony Krantz,sublime,George Newbern,Tom Cavanagh,Cas Anvar,Horror Thriller
Mitchell Altieri,a beginner's guide to snuff,Kimberley Crossman,Luke Edwards,Bree Williamson,Comedy Horror Thriller
W.D. Hogan,independence daysaster,Tom Everett Scott,Keenan Tracey,Nicholas Carella,Action Sci-Fi
Corey Grant,dysfunctional friends,Christian Keyes,Essence Atkins,Tatyana Ali,Comedy Drama
Tom Tykwer,run lola run,Moritz Bleibtreu,Ludger Pistor,Armin Rohde,Crime Drama
Lucky McKee,may,James Duval,Will Estes,Nora Zehetner,Drama Horror
Richard Boddington,against the wild,Natasha Henstridge,CJ Adams,Erin Pitt,Adventure Family
David Hunt,living dark: the story of ted the caver,Matthew Alan,Chris Cleveland,Circus-Szalewski,Horror
Patricia Riggen,under the same moon,America Ferrera,Eugenio Derbez,Kate del Castillo,Adventure Drama
J. Lee Thompson,conquest of the planet of the apes,Roddy McDowall,Gordon Jump,John Randolph,Action Sci-Fi
Todd Field,in the bedroom,Tom Wilkinson,Sissy Spacek,Karen Allen,Crime Drama
Steven R. Monroe,i spit on your grave,Sarah Butler,Chad Lindberg,Daniel Franzese,Horror Thriller
Mark Illsley,"happy, texas",Ally Walker,Illeana Douglas,Jeremy Northam,Comedy Crime Romance
Pawel Pawlikowski,my summer of love,Paddy Considine,Natalie Press,Dean Andrews,Drama Romance
Ritesh Batra,the lunchbox,Nawazuddin Siddiqui,Nimrat Kaur,Lillete Dubey,Drama Romance
Sally Potter,yes,Shirley Henderson,Joan Allen,Stephanie Leonidas,Drama Romance
Frank Capra,you can't take it with you,Jean Arthur,Ann Miller,Lionel Barrymore,Comedy Drama Romance
Fred Zinnemann,from here to eternity,Montgomery Clift,Donna Reed,Deborah Kerr,Drama Romance War
John Ford,she wore a yellow ribbon,Harry Carey Jr.,Ben Johnson,Victor McLaglen,Western
Brad J. Silverman,grace unplugged,Shawnee Smith,Michael Welch,Anthony Reynolds,Drama Music
Dave Meyers,foolish,Eddie Griffin,Clifton Powell,Marla Gibbs,Comedy Drama
David M. Matthews,n-secure,Essence Atkins,Lamman Rucker,Tempestt Bledsoe,Crime Drama Thriller
Nadine Labaki,caramel,Yasmine Al Massri,Adel Karam,Nadine Labaki,Comedy Drama Romance
Lluís Quílez,out of the dark,Stephen Rea,Pixie Davies,Alejandro Furth,Horror Thriller
Eytan Fox,the bubble,Ohad Knoller,Lior Ashkenazi,Yousef 'Joe' Sweid,Comedy Drama Romance
Francis Ford Coppola,the conversation,Harrison Ford,Teri Garr,Cindy Williams,Drama Mystery Thriller
Romesh Sharma,dil jo bhi kahey...,Annabelle Wallis,Revathy,Bhoomika Chawla,Romance
François Truffaut,mississippi mermaid,Catherine Deneuve,Jean-Paul Belmondo,Michel Bouquet,Crime Drama Romance
Adam Goldberg,i love your work,Judy Greer,Marisa Coughlan,Nicky Katt,Drama Mystery
Travis Zariwny,cabin fever,Dustin Ingram,Gage Golightly,Samuel Davis,Horror
Zack Snyder,dawn of the dead,Ty Burrell,Kevin Zegers,Mekhi Phifer,Action Horror Thriller
Adrienne Shelly,waitress,Lew Temple,Cheryl Hines,Eddie Jemison,Comedy Drama Romance
Newt Arnold,bloodsport,Bolo Yeung,Donald Gibb,Ken Siu,Action Biography Drama Sport
Frank Capra,mr. smith goes to washington,Claude Rains,Jean Arthur,Thomas Mitchell,Comedy Drama
Larry Clark,kids,Rosario Dawson,Leo Fitzpatrick,Justin Pierce,Drama
Noah Baumbach,the squid and the whale,William Baldwin,Elizabeth Meriwether,Owen Kline,Comedy Drama
Charles Herman-Wurmfeld,kissing jessica stein,Scott Cohen,Jennifer Westfeldt,Brian Stepanek,Comedy Drama Romance
Yimou Zhang,"a woman, a gun and a noodle shop",Honglei Sun,Ni Yan,Dahong Ni,Comedy Drama
John Stockwell,kickboxer: vengeance,Matthew Ziff,T.J. Storm,Sam Medina,Action
Alfred Hitchcock,spellbound,Norman Lloyd,Rhonda Fleming,Leo G. Carroll,Film-Noir Mystery Romance Thriller
Atom Egoyan,exotica,Bruce Greenwood,Mia Kirshner,Sarah Polley,Drama Mystery Romance
Vincent Gallo,buffalo '66,Anjelica Huston,Vincent Gallo,Jan-Michael Vincent,Comedy Crime Drama Romance
James Wan,insidious,Lin Shaye,Barbara Hershey,Philip Friedman,Fantasy Horror Mystery Thriller
Alex Cox,repo man,Del Zamora,Tracey Walter,Miguel Sandoval,Comedy Crime Sci-Fi Thriller
Fabián Bielinsky,nine queens,Ricardo Darín,Gastón Pauls,Leticia Brédice,Crime Drama Thriller
Dror Moreh,the gatekeepers,Ami Ayalon,Yuval Diskin,Yaakov Peri,Documentary War
Rebecca Miller,the ballad of jack and rose,Beau Bridges,Susanna Thompson,Ryan McDonald,Drama
Maggie Carey,the to do list,Donald Glover,Alia Shawkat,Scott Porter,Comedy Romance
Roger Avary,killing zoe,Eric Stoltz,Salvator Xuereb,Jean-Hugues Anglade,Crime Drama Thriller
Henry Bean,the believer,Ryan Gosling,Theresa Russell,Summer Phoenix,Drama
David Gordon Green,snow angels,Michael Angarano,Connor Paolo,Tom Noonan,Drama Romance
Simeon Rice,unsullied,Ward G. Smith,Lisa Brave,Malone Thomas,Action Horror Thriller
Brad Anderson,session 9,Paul Guilfoyle,Brendan Sexton III,Larry Fessenden,Horror Mystery
Jeff Garlin,i want someone to eat cheese with,Jessy Schram,Jeff Garlin,Joey Slotnick,Comedy Romance
Qasim Basir,mooz-lum,Dorian Missick,Nia Long,Evan Ross,Drama Family
Adam Green,hatchet,Joel David Moore,Kane Hodder,Joel Murray,Comedy Horror
Charles Chaplin,modern times,Paulette Goddard,Stanley Blystone,Fred Malatesta,Comedy Drama Family
Pete Jones,stolen summer,Brian Dennehy,Aidan Quinn,Bonnie Hunt,Drama
Bruce Campbell,my name is bruce,Ted Raimi,Dan Hicks,Timothy Patrick Quill,Comedy Fantasy
Mark Brown,the salon,Vivica A. Fox,Monica Calhoun,Garrett Morris,Comedy Drama
Adam Carolla,road hard,Jay Mohr,Jim O'Heir,David Alan Grier,Comedy
Ira Sachs,forty shades of blue,Rip Torn,Jenny O'Hara,Darren E. Burrows,Drama Music Romance
John Sayles,amigo,Brian Lee Franklin,John Arcilla,Ronnie Lazaro,Drama War
Bruce McDonald,pontypool,Stephen McHattie,Georgina Reilly,Boyd Banks,Fantasy Horror
James Mottern,trucker,Jimmy Bennett,Joey Lauren Adams,Matthew Lawrence,Drama
Jaime Zevallos,me you and five bucks,Angela Sarafyan,Jaime Zevallos,Michael Elian,Comedy Drama Romance
Rob Zombie,the lords of salem,Sid Haig,Dee Wallace,Michael Berryman,Drama Fantasy Horror Thriller
Gerard Johnstone,housebound,Morgana O'Reilly,Bruce Hopkins,Cameron Rhodes,Comedy Horror Mystery
Robert Greenwald,wal-mart: the high cost of low price,Lee Scott,Jon Hunter,Matt Hunter,Documentary
David Ray,fetching cody,Nicole Muñoz,Sarah Lind,Kyla Wise,Drama Fantasy Romance
Dave Rodriguez,once upon a time in queens,Chazz Palminteri,Michael Rapaport,Paul Sorvino,Comedy Drama
Nae Caranfil,closer to the moon,Monica Barladeanu,Joe Armstrong,Martin Hancock,Comedy Drama
David Winning,mutant world,Ashanti,Amber Marshall,John DeSantis,Sci-Fi
Frank Lotito,growing up smith,Brighton Sharbino,Jake Busey,Tim Guinee,Comedy Drama Family
Timothy Woodward Jr.,checkmate,Katrina Law,Johnny Messner,Michael Paré,Action Crime Thriller
Christopher McQuarrie,jack reacher,Tom Cruise,Robert Duvall,David Oyelowo,Action Crime Mystery Thriller
Tara Subkoff,#horror,Timothy Hutton,Balthazar Getty,Lydia Hearst,Drama Horror Mystery Thriller
Russell Friedenberg,wind walkers,Rudy Youngblood,Glen Powell,Kiowa Gordon,Action Horror Thriller
William Cottrell,snow white and the seven dwarfs,Adriana Caselotti,Billy Gilbert,Lucille La Verne,Animation Family Fantasy Musical
Lucrecia Martel,the holy girl,Mía Maestro,Mercedes Morán,María Alche,Drama
Edward Dmytryk,shalako,Brigitte Bardot,Woody Strode,Honor Blackman,Western
Zak Penn,incident at loch ness,Zak Penn,Gabriel Beristain,John Bailey,Adventure Comedy Horror
Alex Ranarivelo,the dog lover,Lea Thompson,Christina Moore,Cullen Douglas,Drama
Jon Knautz,girl house,Camren Bicondova,Adam DiMarco,Chasty Ballesteros,Horror Thriller
Mathieu Amalric,the blue room,Mathieu Amalric,Léa Drucker,Laurent Poitrenaux,Crime Romance Thriller
David Worth,house at the end of the drive,Jessica Szohr,Jonathan Mangum,Angela Jones,Horror Thriller
Leslie H. Martinson,batman: the movie,Burgess Meredith,Cesar Romero,Burt Ward,Adventure Comedy Family
Guy Ritchie,"lock, stock and two smoking barrels",Jason Statham,Jason Flemyng,Dexter Fletcher,Comedy Crime
Robert M. Young,the ballad of gregorio cortez,Barry Corbin,Bruce McGill,Ned Beatty,Western
unknown,the streets of san francisco            ,Karl Malden,Michael Douglas,unknown,Action Crime Drama Mystery
Thomas Vinterberg,the celebration,Ulrich Thomsen,Paprika Steen,Trine Dyrholm,Drama
Steve Buscemi,trees lounge,Steve Buscemi,Debi Mazar,Carol Kane,Comedy Drama
Ham Tran,journey from the fall,Long Nguyen,Kieu Chinh,Cat Ly,Drama
Rich Cowan,the basket,Eric Dane,Karen Allen,Peter Coyote,Drama
Boris Rodriguez,eddie: the sleepwalking cannibal,Stephen McHattie,Thure Lindhardt,Georgina Reilly,Comedy Horror
Harold Becker,mercury rising,Bruce Willis,Miko Hughes,Carrie Preston,Action Crime Drama Thriller
unknown,space: above and beyond            ,James Morrison,Tucker Smallwood,Kristen Cloke,Drama Sci-Fi
Sadyk Sher-Niyaz,queen of the mountains,Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev,Action Biography Drama History
Paul Donovan,def-con 4,Maury Chaykin,Lenore Zann,Tim Choate,Action Sci-Fi
Jonathan Kesselman,the hebrew hammer,Judy Greer,Adam Goldberg,Tony Cox,Comedy
Arjun Sablok,neal 'n' nikki,Abhishek Bachchan,Uday Chopra,Samantha McLeod,Comedy Musical Romance
Craig Moss,the 41-year-old virgin who knocked up sarah marshall and felt superbad about it,Noureen DeWulf,Bryan Callen,Matt Crabtree,Comedy
Tyler Oliver,forget me not,Bella Thorne,Chloe Bridges,Christopher Atkins,Horror Romance Thriller
Alfred Hitchcock,rebecca,Laurence Olivier,Joan Fontaine,George Sanders,Drama Film-Noir Mystery Thriller
Steve Miner,friday the 13th part 2,Betsy Palmer,Adrienne King,Amy Steel,Horror Mystery Thriller
Billy Wilder,the lost weekend,Ray Milland,Jane Wyman,Frank Faylen,Drama Film-Noir
Douglas Cheek,c.h.u.d.,Daniel Stern,John Heard,Sam McMurray,Horror Sci-Fi
Youssef Delara,filly brown,Noel Gugliemi,Jenni Rivera,Jorge Diaz,Drama Music
Deryck Broom,the lion of judah,Vic Mignogna,Omar Benson Miller,Anupam Kher,Animation
Henry Hathaway,niagara,Joseph Cotten,Jean Peters,Will Wright,Crime Film-Noir Thriller
John Ford,how green was my valley,Roddy McDowall,Walter Pidgeon,Barry Fitzgerald,Drama Family
unknown,the girlfriend experience            ,Mary Lynn Rajskub,Riley Keough,Paul Sparks,Drama
Spike Lee,da sweet blood of jesus,Rami Malek,Elvis Nolasco,Felicia Pearson,Comedy Romance Thriller
Steven Soderbergh,"sex, lies, and videotape",Peter Gallagher,Laura San Giacomo,Steven Brill,Drama
James Wan,saw,Michael Emerson,Monica Potter,Shawnee Smith,Horror Mystery Thriller
Jay Chandrasekhar,super troopers,Geoffrey Arend,Daniel von Bargen,Jay Chandrasekhar,Comedy Crime Mystery
Giovanni Zelko,the algerian,Zuhair Haddad,Harry Lennix,Ben Youcef,Action Romance Thriller
Claudia Sainte-Luce,the amazing catfish,Ximena Ayala,Vera Wilson,José Manuel Orozco Angulo,Comedy Drama
Scott Derrickson,the day the earth stood still,Keanu Reeves,Jon Hamm,Juan Riedinger,Drama Sci-Fi Thriller
Mira Nair,monsoon wedding,Naseeruddin Shah,Randeep Hooda,Lillete Dubey,Comedy Drama Romance
Kenneth Lonergan,you can count on me,Matthew Broderick,Rory Culkin,Gaby Hoffmann,Drama
Alfred Hitchcock,the trouble with harry,Jerry Mathers,John Forsythe,Royal Dano,Comedy Mystery Romance
Paul McGuigan,lucky number slevin,Bruce Willis,Morgan Freeman,Dorian Missick,Crime Drama Mystery Thriller
Jamie Babbit,but i'm a cheerleader,Natasha Lyonne,Clea DuVall,Eddie Cibrian,Comedy Drama
David Boyd,home run,Vivica A. Fox,Drew Waters,Scott Elrod,Drama Sport
Quentin Tarantino,reservoir dogs,Quentin Tarantino,Steve Buscemi,Chris Penn,Crime Drama Thriller
Walter Lang,the blue bird,Spring Byington,Nigel Bruce,Gale Sondergaard,Drama Family Fantasy
Sergio Leone,"the good, the bad and the ugly",Clint Eastwood,Luigi Pistilli,Enzo Petito,Western
Anna Muylaert,the second mother,Alex Huszar,Regina Casé,Luis Miranda,Comedy Drama
Steve Taylor,blue like jazz,Jason Marsden,Marshall Allman,Eric Lange,Comedy Drama
Kurt Voss,down and out with the dolls,Lemmy,Coyote Shivers,Zoë Poledouris,Comedy Music
Léa Pool,"pink ribbons, inc.",unknown,unknown,unknown,Documentary
James David Pasternak,certifiably jonathan,Robin Williams,Sarah Silverman,Jonathan Winters,Comedy Documentary
Laurent Bouhnik,q,Déborah Révy,Johnny Amaro,Yassine Azzouz,Drama
Tom Sanchez,the knife of don juan,Nataniel Sánchez,Antonio Arrué,Juan Carlos Montoya,Comedy Drama
David Caffrey,grand theft parsons,Marley Shelton,Scott Adsit,Jim Cody Williams,Adventure Comedy Drama
Adam Jay Epstein,extreme movie,Rich Ceraulo,Denise Boutte,Vanessa Lee Chester,Comedy
Michael Curtiz,the charge of the light brigade,Errol Flynn,David Niven,Spring Byington,Action Adventure Romance War
Justin Thomas Ostensen,below zero,Michael Berryman,Kristin Booth,Michael Eisner,Thriller
Brenton Spencer,crowsnest,Christie Burke,Victor Zinck Jr.,Chelsey Reist,Action Horror Mystery Thriller
Rob Bowman,airborne,Alanna Ubach,Jacob Vargas,Brittney Powell,Adventure Comedy Sport
Ossie Davis,cotton comes to harlem,Redd Foxx,Cleavon Little,Calvin Lockhart,Action Comedy
Jay Alaimo,the wicked within,William McNamara,Sabrina Carmichael,Patrick Muldoon,Horror
Dylan Bank,bleeding hearts,Seregon O'Dassey,Deirdre Lorenz,Dustin Diamond,Horror
Rob McKittrick,waiting...,Ryan Reynolds,Dane Cook,Vanessa Lengies,Comedy
Shane Meadows,dead man's shoes,Paddy Considine,Gary Stretch,George Newton,Crime Drama Thriller
unknown,wolf creek            ,Richard Cawthorne,John Jarratt,Lucy Fry,Drama Horror Thriller
Jeff Burr,from a whisper to a scream,Terry Kiser,Clu Gulager,Susan Tyrrell,Action Drama Horror Thriller
Harry Gantz,sex with strangers,unknown,unknown,unknown,Documentary Drama
Guy Maddin,dracula: pages from a virgin's diary,Sarah Murphy-Dyson,CindyMarie Small,Brent Neale,Comedy Horror Musical
Regardt van den Bergh,faith like potatoes,Sean Cameron Michael,Frank Rautenbach,Jeanne Neilson,Drama
Panos Cosmatos,beyond the black rainbow,Chris Gauthier,Marilyn Norry,Eva Bourne,Sci-Fi Thriller
Gareth Evans,the raid: redemption,Iko Uwais,Yayan Ruhian,Donny Alamsyah,Action Crime Thriller
Matthew R. Anderson,the dead undead,Johnny Pacar,Vernon Wells,Matthew R. Anderson,Action Horror Sci-Fi
Joe Marino,the vatican exorcisms,Piero Maggiò,Anella Vastola,Joe Marino,Horror
Michael Curtiz,casablanca,Humphrey Bogart,Claude Rains,Conrad Veidt,Drama Romance War
Joel Anderson,lake mungo,Talia Zucker,Rosie Traynor,Martin Sharpe,Drama Horror Mystery Thriller
Shimit Amin,rocket singh: salesman of the year,Ranbir Kapoor,Shazahn Padamsee,Gauhar Khan,Comedy Drama
Douglas Trumbull,silent running,Bruce Dern,Ron Rifkin,Jesse Vint,Drama Sci-Fi
John G. Avildsen,rocky,Sylvester Stallone,Burgess Meredith,Carl Weathers,Drama Sport
Mona Fastvold,the sleepwalker,Christopher Abbott,Brady Corbet,Gitte Witt,Drama
John Carpenter,the fog,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,Fantasy Horror
Tony Richardson,tom jones,Albert Finney,Susannah York,Hugh Griffith,Adventure Comedy History
Levan Gabriadze,unfriended,Shelley Hennig,Renee Olstead,Heather Sossaman,Horror Mystery Thriller
Martin Scorsese,taxi driver,Robert De Niro,Albert Brooks,Peter Boyle,Crime Drama
Joe Dante,the howling,Patrick Macnee,Robert Picardo,Dee Wallace,Horror
Terence Young,dr. no,Ursula Andress,Jack Lord,Lois Maxwell,Action Adventure Thriller
Bradley Parker,chernobyl diaries,Jesse McCartney,Ingrid Bolsø Berdal,Jonathan Sadowski,Horror Mystery Sci-Fi Thriller
Clive Barker,hellraiser,Andrew Robinson,Ashley Laurence,Clare Higgins,Fantasy Horror
Harold Cronk,god's not dead 2,Benjamin A. Onyango,Robin Givens,Maria Canals-Barrera,Drama
Jeff Wadlow,cry_wolf,Julian Morris,Gary Cole,Lindy Booth,Drama Horror Mystery Thriller
Takao Okawara,godzilla 2000,Hiroshi Abe,Naomi Nishida,Sakae Kimura,Action Adventure Drama Sci-Fi Thriller
Derek Cianfrance,blue valentine,Ryan Gosling,Mike Vogel,John Doman,Drama Romance
Duncan Tucker,transamerica,Kevin Zegers,Felicity Huffman,Paul Borghese,Adventure Comedy Drama
William Brent Bell,the devil inside,Fernanda Andrade,Claudiu Trandafir,Brian Johnson,Horror
Russ Meyer,beyond the valley of the dolls,Charles Napier,Cynthia Myers,Harrison Page,Comedy Drama Music
Robert D. Webb,love me tender,James Drury,Neville Brand,Debra Paget,Drama Romance Western
Davis Guggenheim,an inconvenient truth,Billy West,Al Gore,unknown,Documentary
Allan Dwan,sands of iwo jima,James Brown,Richard Jaeckel,Forrest Tucker,Action Drama Romance War
Martin Scorsese,shine a light,Mick Jagger,Keith Richards,Albert Maysles,Biography Documentary Music
Eli Roth,the green inferno,Daryl Sabara,Richard Burgi,Magda Apanowicz,Adventure Horror
Andrew Steggall,departure,Juliet Stevenson,Alex Lawther,Niamh Cusack,Drama Family Romance
Ben Lewin,the sessions,W. Earl Brown,Adam Arkin,Rhea Perlman,Biography Comedy Drama Romance
Robert Kenner,"food, inc.",Michael Pollan,Eric Schlosser,Barbara Kowalcyk,Documentary
Andrew Erwin,october baby,Rachel Hendrix,Robert Amaya,Jason Burkey,Drama
Brad Anderson,next stop wonderland,Philip Seymour Hoffman,Callie Thorne,Holland Taylor,Comedy Drama Romance
Jason Reitman,juno,J.K. Simmons,Jennifer Garner,Rainn Wilson,Comedy Drama Romance
Craig Johnson,the skeleton twins,Ty Burrell,Boyd Holbrook,Kathleen Rose Perkins,Comedy Drama
Sean Durkin,martha marcy may marlene,Christopher Abbott,Julia Garner,Brady Corbet,Drama Mystery Thriller
Gillian Robespierre,obvious child,Gaby Hoffmann,Jenny Slate,Jake Lacy,Comedy Drama
Courtney Hunt,frozen river,Charlie McDermott,Michael O'Keefe,Misty Upham,Crime Drama
Morgan Neville,20 feet from stardom,Sheryl Crow,Lou Adler,Merry Clayton,Documentary Music
James Toback,two girls and a guy,Robert Downey Jr.,Natasha Gregson Wagner,Angel David,Comedy Drama
Nicole Holofcener,walking and talking,Kevin Corrigan,Anne Heche,Vincent Pastore,Comedy Drama Romance
Peter Cattaneo,the full monty,Tom Wilkinson,Mark Addy,Lesley Sharp,Comedy Drama Music
Chris Paine,who killed the electric car?,Ed Begley Jr.,Phyllis Diller,Colette Divine,Documentary
Greg Berlanti,the broken hearts club: a romantic comedy,Justin Theroux,Nia Long,Mary McCormack,Comedy Drama Romance Sport
Don Coscarelli,bubba ho-tep,Daniel Roebuck,Ossie Davis,Ella Joyce,Comedy Fantasy Mystery
Rob Letterman,goosebumps,Odeya Rush,Dylan Minnette,Ken Marino,Adventure Comedy Family Fantasy Horror
Marc Levin,slam,Sonja Sohn,Saul Williams,Bonz Malone,Drama
Richard Dutcher,brigham city,Wilford Brimley,Frank Gerrish,Rick Macy,Crime Drama Mystery
Khalid Mohamed,fiza,Karisma Kapoor,Manoj Bajpayee,Jaya Bhaduri,Drama Romance
Mel Brooks,history of the world: part i,Madeline Kahn,Sid Caesar,Dom DeLuise,Comedy
Trey Parker,orgazmo,Trey Parker,Dian Bachar,Matt Stone,Comedy Sci-Fi
David Gordon Green,all the real girls,Zooey Deschanel,Paul Schneider,Shea Whigham,Drama Romance
Finn Taylor,dream with the fishes,David Arquette,Cathy Moriarty,Kathryn Erbe,Comedy Drama
Karen Moncrieff,blue car,Frances Fisher,Agnes Bruckner,A.J. Buckley,Drama
José Luis Valenzuela,luminarias,Cheech Marin,Lupe Ontiveros,Robert Beltran,Comedy Romance
Gia Coppola,palo alto,James Franco,Nat Wolff,Olivia Crocicchia,Drama
Scandar Copti,ajami,Shahir Kabaha,Scandar Copti,Ranin Karim,Crime Drama
Goran Dukic,wristcutters: a love story,Leslie Bibb,Patrick Fugit,Chase Ellison,Comedy Drama Fantasy Romance
Mike Cahill,i origins,Steven Yeun,Cara Seymour,Venida Evans,Drama Romance Sci-Fi
Efram Potelle,the battle of shaker heights,Shiri Appleby,Elden Henson,Kathleen Quinlan,Comedy Drama Romance
Peter Jackson,the lovely bones,Michael Imperioli,AJ Michalka,Tom McCarthy,Drama Fantasy Thriller
Joshua Oppenheimer,the act of killing,Anwar Congo,Herman Koto,Syamsul Arifin,Biography Crime Documentary History
Alex Gibney,taxi to the dark side,Alex Gibney,George W. Bush,Greg D'Agostino,Crime Documentary War
Paul Crowder,once in a lifetime: the extraordinary story of the new york cosmos,Pelé,Marv Albert,Ahmet Ertegun,Documentary Sport
Rohit Jagessar,guiana 1838,Kumar Gaurav,Rufus Graham,Aasheekaa Bathija,Drama
Griffin Dunne,lisa picard is famous,Mira Sorvino,Fisher Stevens,Melissa Gilbert,Comedy Drama
Anthony Powell,antarctica: a year on ice,Josh Swanson,Tom Hamann,Anthony Powell,Adventure Biography Documentary Drama
Kief Davidson,a lego brickumentary,G.W. Krauss,Brian Whitaker,Jason Bateman,Documentary
Johnny Remo,hardflip,Matthew Ziff,Randy Wayne,Raquel Elizabeth Ames,Action Drama
Vivek Agnihotri,chocolate: deep dark secrets,Emraan Hashmi,Anil Kapoor,Sunil Shetty,Thriller
Ti West,the house of the devil,Lena Dunham,Greta Gerwig,Dee Wallace,Horror
Nick Tomnay,the perfect host,David Hyde Pierce,Clayne Crawford,Nathaniel Parker,Comedy Crime Thriller
John Hamburg,safe men,Harvey Fierstein,Michael Lerner,Josh Pais,Comedy Crime
Nickolas Perry,speedway junky,Patrick Renna,Patsy Kensit,Adrienne Frantz,Crime Drama Romance
Dan Zukovic,the last big thing,Yul Vazquez,Louis Mustillo,James Lorinz,Comedy Drama
Craig Mazin,the specials,Judy Greer,James Gunn,Jamie Kennedy,Action Comedy Fantasy Sci-Fi
Becky Smith,16 to life,Will Rothhaar,Emily Baldoni,Hallee Hirsh,Comedy Romance
Eric Nicholas,alone with her,Jordana Spiro,Ana Claudia Talancón,Jonathon Trent,Crime Drama Thriller
Benjamin Dickinson,creative control,Nora Zehetner,Alexia Rasmussen,Meredith Hagner,Drama Sci-Fi
Hal Haberman,special,Michael Rapaport,Paul Blackthorne,Ian Bohen,Comedy Drama Sci-Fi
Darren Stein,sparkler,Frances Bay,Jamie Kennedy,Veronica Cartwright,Comedy Drama
A. Raven Cruz,the helix... loaded,Scott Levy,Vanilla Ice,Jennifer Sky,Action Adventure Comedy Fantasy Sci-Fi
Brian Trenchard-Smith,in her line of fire,David Keith,Mariel Hemingway,Jesse Hutch,Action Drama
Frank Whaley,the jimmy show,Lynn Cohen,Frank Whaley,Heather Bucha,Comedy Drama
Amat Escalante,heli,Kenny Johnston,Andrea Vergara,Gabriel Reyes,Crime Drama Romance
Wajahat Rauf,karachi se lahore,Rasheed Naz,Ayesha Omar,Javed Sheikh,Comedy Family
Katherine Brooks,loving annabelle,Ilene Graff,Kevin McCarthy,Laura Breckenridge,Drama Romance
David Cross,hits,Jason Ritter,Matt Walsh,Amy Sedaris,Comedy Drama
Randall Rubin,jimmy and judy,Nicole Randall Johnson,A.J. Buckley,James Eckhouse,Crime Drama Thriller
Robert Bennett,frat party,Randy Wayne,Lauren C. Mayhew,Alicia Ziegler,Comedy
Guy Hamilton,the party's over,Oliver Reed,Eddie Albert,Louise Sorel,Drama
Mary Pat Kelly,proud,Aidan Quinn,Ossie Davis,Janet Hubert,Drama
Lori Petty,the poker house,Jennifer Lawrence,Chloë Grace Moretz,Bokeem Woodbine,Drama
Charlie Levi,childless,Joe Mantegna,Barbara Hershey,Diane Venora,Drama
Kevin Hamedani,zmd: zombies of mass destruction,Russell Hodgkinson,Janette Armand,Kevin Hamedani,Comedy Horror Sci-Fi
David DeCoteau,snow white: a deadly summer,Maureen McCormick,Shanley Caswell,Tim Abell,Horror
Mikel Rueda,hidden away,Álex Angulo,Germán Alcarazu,Joseba Ugalde,Drama Romance
Stefan C. Schaefer,my last day without you,Nicole Beharie,Marlene Forte,Reg E. Cathey,Comedy Drama Romance
Michael Taliferro,steppin: the movie,Wesley Jonathan,Sticky Fingaz,Chrystee Pharris,Comedy Music
David DeCoteau,doc holliday's revenge,William McNamara,Tom Berenger,Randy Jay Burrell,Western
Katie Aselton,black rock,Katie Aselton,Anslem Richardson,Jay Paulson,Horror Thriller
Robert Heath,truth or die,David Oakes,Alexander Vlahos,Jennie Jacques,Horror Mystery
D. Stevens,the pet,Magi Avila,Pierre Dulat,Summer Napoles,Drama Thriller
Jeffrey St. Jules,bang bang baby,Boyd Banks,Chloe Rose,Kristian Bruun,Drama Musical Sci-Fi
Robert Hall,fear clinic,Angelina Armani,Kevin Gage,Fiona Dourif,Horror
K. King,zombie hunter,Jason K. Wixom,Shona Kay,Jarrod Phillips,Action Comedy Horror
Jonathan Meyers,a fine step,Justin Baldoni,Luke Perry,Leonor Varela,Drama
Danny Boyle,trance,Rosario Dawson,Spencer Wilding,Tuppence Middleton,Crime Drama Mystery Thriller
Ralph Nelson,charly,Cliff Robertson,Dick Van Patten,Claire Bloom,Drama Romance Sci-Fi
Blair Erickson,banshee chapter,Monique Candelaria,Katia Winter,Michael McMillian,Horror Thriller
unknown,jesse            ,Eric Lloyd,David DeLuise,Bruno Campos,Comedy
Allison Burnett,ask me anything,Kimberly Williams-Paisley,Gia Mantegna,Cathryn de Prume,Drama
Richard Schenkman,and then came love,Vanessa Williams,Mike Colter,Eartha Kitt,Comedy Romance
Sanjay Rawal,food chains,Alma Martinez,Robert Kennedy Jr.,Eve Ensler,Documentary News
Elia Kazan,on the waterfront,Marlon Brando,Karl Malden,Rod Steiger,Crime Drama Romance
Kat Coiro,l!fe happens,Justin Kirk,Geoff Stults,Kristen Johnston,Comedy
