director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres,comb
Eli Roth,the house with a clock in its walls,Jack Black,Cate Blanchett,Owen Vaccaro,Fantasy Family Comedy,Jack Black Cate Blanchett Owen Vaccaro Eli Roth Fantasy Family Comedy
Dan Fogelman,life itself,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,Oscar Isaac Olivia Wilde Mandy Patinkin Dan Fogelman Drama Romance
Jacques Audiard,the sisters brothers,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Adventure,John C. Reilly Joaquin Phoenix Jake Gyllenhaal Jacques Audiard Western Drama Adventure
Sam Levinson,assassination nation,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Comedy Horror,Odessa Young Suki Waterhouse Hari Nef Sam Levinson Thriller Comedy Horror
Wash Westmoreland,colette,Keira Knightley,Dominic West,unknown,Drama History,Keira Knightley Dominic West unknown Wash Westmoreland Drama History
Michael Moore,fahrenheit 11/9,Michael Moore (director/screenplay),unknown,unknown,Documentary,Michael Moore (director/screenplay) unknown unknown Michael Moore Documentary
Christian Carion,my son,Guillaume Canet,Melanie Laurent,unknown,Crime Drama Thriller,Guillaume Canet Melanie Laurent unknown Christian Carion Crime Drama Thriller
Lisa Dapolito,"love, gilda",Lisa Dapolito (director); Gilda Radner,unknown,unknown,Documentary,Lisa Dapolito (director); Gilda Radner unknown unknown Lisa Dapolito Documentary
Kenji Nagasaki,my hero academia: two heroes,Justin Briner,Christopher R. Sabat,Clifford Chapin,Animation Action Adventure Fantasy,Justin Briner Christopher R. Sabat Clifford Chapin Kenji Nagasaki Animation Action Adventure Fantasy
Karey Kirkpatrick,smallfoot,Channing Tatum,James Corden,Zendaya,Family Animation Adventure Fantasy,Channing Tatum James Corden Zendaya Karey Kirkpatrick Family Animation Adventure Fantasy
Malcolm D. Lee,night school,Kevin Hart,Tiffany Haddish,Rob Riggle,Comedy,Kevin Hart Tiffany Haddish Rob Riggle Malcolm D. Lee Comedy
David Lowery,the old man & the gun,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,Robert Redford Casey Affleck Danny Glover David Lowery Comedy Crime Drama
Gregory Plotkin,hell fest,Bex Taylor-Klaus,Amy Forsyth,Reign Edwards,Horror,Bex Taylor-Klaus Amy Forsyth Reign Edwards Gregory Plotkin Horror
Ruben Fleischer,venom,Tom Hardy,Michelle Williams,Riz Ahmed,Science Fiction Action,Tom Hardy Michelle Williams Riz Ahmed Ruben Fleischer Science Fiction Action
Bradley Cooper,a star is born,Bradley Cooper,Lady Gaga,Sam Elliott,Drama Romance Music,Bradley Cooper Lady Gaga Sam Elliott Bradley Cooper Drama Romance Music
George Tillman Jr.,the hate u give,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
Rupert Everett,the happy prince,Rupert Everett,Colin Firth,Colin Morgan,Drama,Rupert Everett Colin Firth Colin Morgan Rupert Everett Drama
Damien Chazelle,first man,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,Ryan Gosling Claire Foy Jason Clarke Damien Chazelle History Drama
Drew Goddard,bad times at the el royale,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Drama Mystery Crime,Jeff Bridges Cynthia Erivo Dakota Johnson Drew Goddard Thriller Drama Mystery Crime
Ari Sandel,goosebumps 2: haunted halloween,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Adventure Comedy Fantasy Family Horror,Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Ari Sandel Adventure Comedy Fantasy Family Horror
Felix van Groeningen,beautiful boy,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,Steve Carell Timothée Chalamet Maura Tierney Felix van Groeningen Drama
Ike Barinholtz,the oath,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy
Nick Searcy,gosnell: the trial of america's biggest serial killer,Nick Searcy (director); Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime,Nick Searcy (director); Earl Billings Dean Cain Sarah Jane Morris Nick Searcy Drama Crime
"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei",after everything,Hannah Marks,Joey Power (directors/screenplay),Jeremy Allen White,Comedy Drama Romance,"Hannah Marks Joey Power (directors/screenplay) Jeremy Allen White Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei Comedy Drama Romance"
David Gordon Green,halloween,Jamie Lee Curtis,Judy Greer,Andi Matichak,Family Animation Mystery Comedy,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Family Animation Mystery Comedy
Marielle Heller,can you ever forgive me?,Melissa McCarthy,Richard E. Grant,unknown,Drama Crime Comedy,Melissa McCarthy Richard E. Grant unknown Marielle Heller Drama Crime Comedy
Jonah Hill,mid90s,Sunny Suljic,Lucas Hedges,Katherine Waterston,Drama Comedy,Sunny Suljic Lucas Hedges Katherine Waterston Jonah Hill Drama Comedy
Paul Dano,wildlife,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,Carey Mulligan Jake Gyllenhaal Ed Oxenbould Paul Dano Drama
Elizabeth Chomko,what they had,Hilary Swank,Michael Shannon,Robert Forster,Drama,Hilary Swank Michael Shannon Robert Forster Elizabeth Chomko Drama
Donovan Marsh,hunter killer,Gerard Butler,Gary Oldman,Common,Action Thriller,Gerard Butler Gary Oldman Common Donovan Marsh Action Thriller
David Kerr,johnny english strikes again,Rowan Atkinson,Olga Kurylenko,Ben Miller,Action Adventure Comedy,Rowan Atkinson Olga Kurylenko Ben Miller David Kerr Action Adventure Comedy
Luca Guadagnino,suspiria,Dakota Johnson,Tilda Swinton,Mia Goth,Horror Thriller,Dakota Johnson Tilda Swinton Mia Goth Luca Guadagnino Horror Thriller
David G. Evans,indivisible,Sarah Drew,Justin Bruening,Jason George,Drama War,Sarah Drew Justin Bruening Jason George David G. Evans Drama War
David McCracken,bullitt county,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,Mike C. Nelson Jenni Melear David McCracken David McCracken Action Drama Thriller
Bryan Singer,bohemian rhapsody,Rami Malek,Lucy Boynton,Gwilym Lee,Music Drama History,Rami Malek Lucy Boynton Gwilym Lee Bryan Singer Music Drama History
"Lasse Hallström, Joe Johnston",the nutcracker and the four realms,Keira Knightley,Mackenzie Foy,Eugenio Derbez,Fantasy Adventure Family,"Keira Knightley Mackenzie Foy Eugenio Derbez Lasse Hallström, Joe Johnston Fantasy Adventure Family"
Tyler Perry,nobody's fool,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Comedy Romance,Tiffany Haddish Tika Sumpter Omari Hardwick Tyler Perry Comedy Romance
Joel Edgerton,boy erased,Lucas Hedges,Nicole Kidman,Russell Crowe,Drama,Lucas Hedges Nicole Kidman Russell Crowe Joel Edgerton Drama
Matthew Heineman,a private war,Rosamund Pike,Jamie Dornan,Stanley Tucci,War Drama,Rosamund Pike Jamie Dornan Stanley Tucci Matthew Heineman War Drama
Joseph Kahn,bodied,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,Calum Worthy Jackie Long Rory Uphold Joseph Kahn Drama Comedy Music
Jason Reitman,the front runner,Hugh Jackman,Vera Farmiga,J. K. Simmons,Drama History,Hugh Jackman Vera Farmiga J. K. Simmons Jason Reitman Drama History
"Yarrow Cheney, Scott Mosier",the grinch,Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Animation Family Comedy Fantasy,"Benedict Cumberbatch Rashida Jones Kenan Thompson Yarrow Cheney, Scott Mosier Animation Family Comedy Fantasy"
Fede Alvarez,the girl in the spider's web,Claire Foy,Sverrir Gudnason,Lakeith Stanfield,Crime Thriller Action Drama,Claire Foy Sverrir Gudnason Lakeith Stanfield Fede Alvarez Crime Thriller Action Drama
Julius Avery,overlord,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Horror War Science Fiction,Jovan Adepo Wyatt Russell Mathilde Ollivier Julius Avery Horror War Science Fiction
"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits",the ballad of buster scruggs,Tim Blake Nelson,Zoe Kazan,Liam Neeson,Comedy Drama Western Music,"Tim Blake Nelson Zoe Kazan Liam Neeson Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits Comedy Drama Western Music"
Daniel Fabelo & Matt Hullum,lazer team 2,Gavin Free,Michael Jones,Burnie Burns,Science Fiction Action Adventure Comedy,Gavin Free Michael Jones Burnie Burns Daniel Fabelo & Matt Hullum Science Fiction Action Adventure Comedy
Josh Webber,conundrum: secrets among friends,Josh Webber (director); Shaun Cairo (Screenplay),Jo Marie Payton,Gary Leroi Gray,Drama Thriller,Josh Webber (director); Shaun Cairo (Screenplay) Jo Marie Payton Gary Leroi Gray Josh Webber Drama Thriller
David Yates,fantastic beasts: the crimes of grindelwald,Eddie Redmayne,Katherine Waterston,Dan Fogler,Adventure Fantasy Drama,Eddie Redmayne Katherine Waterston Dan Fogler David Yates Adventure Fantasy Drama
Steve McQueen,widows,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Crime Thriller,Viola Davis Michelle Rodriguez Elizabeth Debicki Steve McQueen Crime Thriller
Sean Anders,instant family,Mark Wahlberg,Rose Byrne,Isabela Moner,Comedy Drama,Mark Wahlberg Rose Byrne Isabela Moner Sean Anders Comedy Drama
"Rich Moore, Phil Johnston",ralph breaks the internet,John C. Reilly,Sarah Silverman,Gal Gadot,Family Animation Comedy Adventure,"John C. Reilly Sarah Silverman Gal Gadot Rich Moore, Phil Johnston Family Animation Comedy Adventure"
Steven Caple Jr.,creed ii,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama,Michael B. Jordan Sylvester Stallone Tessa Thompson Steven Caple Jr. Drama
Peter Farrelly,green book,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Drama Comedy Music,Viggo Mortensen Mahershala Ali Linda Cardellini Peter Farrelly Drama Comedy Music
Otto Bathurst,robin hood,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Adventure Action Thriller,Taron Egerton Jamie Foxx Ben Mendelsohn Otto Bathurst Adventure Action Thriller
Alfonso Cuarón,roma,Yalitza Aparicio,Marina de Tavira,Fernando Grediaga,Drama,Yalitza Aparicio Marina de Tavira Fernando Grediaga Alfonso Cuarón Drama
Yorgos Lanthimos,the favourite,Olivia Colman,Emma Stone,Rachel Weisz,History Drama Comedy,Olivia Colman Emma Stone Rachel Weisz Yorgos Lanthimos History Drama Comedy
Andy Serkis,mowgli: legend of the jungle,Rohan Chand,Christian Bale,Cate Blanchett,Adventure Drama,Rohan Chand Christian Bale Cate Blanchett Andy Serkis Adventure Drama
Diederik van Rooijen,the possession of hannah grace,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell Grey Damon Kirby Johnson Diederik van Rooijen Horror Drama
John McPhail,anna and the apocalypse,Ella Hunt,Malcolm Cumming,Marli Siu,Horror Comedy Fantasy,Ella Hunt Malcolm Cumming Marli Siu John McPhail Horror Comedy Fantasy
Nadine Labaki,capernaum,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Drama,Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Nadine Labaki Drama
Josie Rourke,mary queen of scots,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,Saoirse Ronan Margot Robbie Jack Lowden Josie Rourke Drama History
Peter Hedges,ben is back,Lucas Hedges,Julia Roberts,Kathryn Newton,Drama,Lucas Hedges Julia Roberts Kathryn Newton Peter Hedges Drama
"Bob Persichetti, Peter Ramsey, Rodney Rothman",spider-man: into the spider-verse,Shameik Moore,Jake Johnson,Hailee Steinfeld,Action Adventure Animation Science Fiction Comedy,"Shameik Moore Jake Johnson Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Action Adventure Animation Science Fiction Comedy"
Christian Rivers,mortal engines,Hugo Weaving,Hera Hilmar,Robert Sheehan,Adventure Science Fiction,Hugo Weaving Hera Hilmar Robert Sheehan Christian Rivers Adventure Science Fiction
Clint Eastwood,the mule,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama Thriller,Clint Eastwood Bradley Cooper Laurence Fishburne Clint Eastwood Crime Drama Thriller
Barry Jenkins,if beale street could talk,Kiki Layne,Stephan James,Teyonah Parris,Romance Drama,Kiki Layne Stephan James Teyonah Parris Barry Jenkins Romance Drama
Rob Marshall,mary poppins returns,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Fantasy Family Comedy,Emily Blunt Lin-Manuel Miranda Ben Whishaw Rob Marshall Fantasy Family Comedy
James Wan,aquaman,Jason Momoa,Amber Heard,Willem Dafoe,Action Adventure Fantasy,Jason Momoa Amber Heard Willem Dafoe James Wan Action Adventure Fantasy
Travis Knight,bumblebee,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action Adventure Science Fiction,Hailee Steinfeld John Cena Jorge Lendeborg Jr. Travis Knight Action Adventure Science Fiction
Robert Zemeckis,welcome to marwen,Steve Carell,Leslie Mann,Diane Kruger,Drama Comedy Fantasy,Steve Carell Leslie Mann Diane Kruger Robert Zemeckis Drama Comedy Fantasy
Peter Segal,second act,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Romance Comedy,Jennifer Lopez Leah Remini Vanessa Hudgens Peter Segal Romance Comedy
Paweł Pawlikowski,cold war,Joanna Kulig,Tomasz Kot,Agata Kulesza,Animation,Joanna Kulig Tomasz Kot Agata Kulesza Paweł Pawlikowski Animation
Etan Cohen,holmes & watson,Will Ferrell,John C. Reilly,Rebecca Hall,Mystery Adventure Comedy Crime,Will Ferrell John C. Reilly Rebecca Hall Etan Cohen Mystery Adventure Comedy Crime
Adam McKay,vice,Christian Bale,Amy Adams,Steve Carell,Comedy Romance Crime Drama Mystery,Christian Bale Amy Adams Steve Carell Adam McKay Comedy Romance Crime Drama Mystery
Mimi Leder,on the basis of sex,Felicity Jones,Armie Hammer,Justin Theroux,Drama History,Felicity Jones Armie Hammer Justin Theroux Mimi Leder Drama History
Karyn Kusama,destroyer,Nicole Kidman,Sebastian Stan,Toby Kebbell,Thriller Crime Drama Action,Nicole Kidman Sebastian Stan Toby Kebbell Karyn Kusama Thriller Crime Drama Action
David Slade,black mirror: bandersnatch,Fionn Whitehead,Will Poulter,Asim Chaudhry,Science Fiction Mystery Drama Thriller TV Movie,Fionn Whitehead Will Poulter Asim Chaudhry David Slade Science Fiction Mystery Drama Thriller TV Movie
Adam Robitel,escape room,Taylor Russell,Logan Miller,Deborah Ann Woll,Thriller Action Mystery Horror,Taylor Russell Logan Miller Deborah Ann Woll Adam Robitel Thriller Action Mystery Horror
Jen McGowan,rust creek,Hermione Corfield,Jay Paulson,Sean O'Bryan,Thriller Drama,Hermione Corfield Jay Paulson Sean O'Bryan Jen McGowan Thriller Drama
Wilson Coneybeare,american hangman,Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Thriller,Donald Sutherland Vincent Kartheiser Oliver Dennis Wilson Coneybeare Thriller
Charles Martin Smith,a dog's way home,Bryce Dallas Howard,Edward James Olmos,Alexandra Shipp,Drama Adventure Family,Bryce Dallas Howard Edward James Olmos Alexandra Shipp Charles Martin Smith Drama Adventure Family
Neil Burger,the upside,Bryan Cranston,Kevin Hart,Nicole Kidman,Comedy Drama,Bryan Cranston Kevin Hart Nicole Kidman Neil Burger Comedy Drama
Jeffrey Nachmanoff,replicas,Keanu Reeves,unknown,unknown,Science Fiction Thriller,Keanu Reeves unknown unknown Jeffrey Nachmanoff Science Fiction Thriller
Batán Silva,after darkness,Natalia Dyer,Kyra Sedgwick,Tim Daly,Drama Family Thriller Science Fiction,Natalia Dyer Kyra Sedgwick Tim Daly Batán Silva Drama Family Thriller Science Fiction
M. Night Shyamalan,glass,James McAvoy,Bruce Willis,Samuel L. Jackson,Thriller Drama Science Fiction,James McAvoy Bruce Willis Samuel L. Jackson M. Night Shyamalan Thriller Drama Science Fiction
Vicky Jewson,close,Noomi Rapace,Sophie Nélisse,Indira Varma,Action Thriller,Noomi Rapace Sophie Nélisse Indira Varma Vicky Jewson Action Thriller
Henry Dunham,the standoff at sparrow creek,James Badge Dale,Brian Geraghty,unknown,Drama Thriller Mystery,James Badge Dale Brian Geraghty unknown Henry Dunham Drama Thriller Mystery
Timothy Woodward Jr.,the final wish,Lin Shaye,Michael Welch,Melissa Bolona,Horror,Lin Shaye Michael Welch Melissa Bolona Timothy Woodward Jr. Horror
Joe Cornish,the kid who would be king,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor,Action Adventure Fantasy Family,Louis Ashbourne Serkis Dean Chaumoo Tom Taylor Joe Cornish Action Adventure Fantasy Family
Steven Knight,serenity,Matthew McConaughey,Anne Hathaway,Jason Clarke,Thriller Mystery Drama,Matthew McConaughey Anne Hathaway Jason Clarke Steven Knight Thriller Mystery Drama
Grant Sputore,i am mother,Grant Sputore (director),Michael Lloyd Green (screenplay/story),Clara Rugaard,Science Fiction Thriller,Grant Sputore (director) Michael Lloyd Green (screenplay/story) Clara Rugaard Grant Sputore Science Fiction Thriller
Andrew Patterson,the vast of night,Andrew Patterson (director),James Montague,Craig W. Sanger (writers); Sierra McCormick,Mystery Science Fiction Thriller,Andrew Patterson (director) James Montague Craig W. Sanger (writers); Sierra McCormick Andrew Patterson Mystery Science Fiction Thriller
Catherine Hardwicke,miss bala,Gina Rodriguez,Ismael Cruz Córdova,Anthony Mackie,Action,Gina Rodriguez Ismael Cruz Córdova Anthony Mackie Catherine Hardwicke Action
Dan Gilroy,velvet buzzsaw,Jake Gyllenhaal,Rene Russo,Toni Collette,Thriller Mystery Horror,Jake Gyllenhaal Rene Russo Toni Collette Dan Gilroy Thriller Mystery Horror
Nicolas Pesce,piercing,Christopher Abbott,Mia Wasikowska,Laia Costa,Thriller Horror Mystery,Christopher Abbott Mia Wasikowska Laia Costa Nicolas Pesce Thriller Horror Mystery
Mike Mitchell,the lego movie 2: the second part,Chris Pratt,Elizabeth Banks,Tiffany Haddish,Action Adventure Animation Comedy Family,Chris Pratt Elizabeth Banks Tiffany Haddish Mike Mitchell Action Adventure Animation Comedy Family
Adam Shankman,what men want,Taraji P. Henson,Tracy Morgan,Max Greenfield,Comedy Romance,Taraji P. Henson Tracy Morgan Max Greenfield Adam Shankman Comedy Romance
Hans Petter Moland,cold pursuit,Liam Neeson,Tom Bateman,Tom Jackson,Action Crime Thriller,Liam Neeson Tom Bateman Tom Jackson Hans Petter Moland Action Crime Thriller
Steven Soderbergh,high flying bird,André Holland,Zazie Beetz,Melvin Gregg,Drama,André Holland Zazie Beetz Melvin Gregg Steven Soderbergh Drama
Nicholas McCarthy,the prodigy,Taylor Schilling,Peter Mooney,Colm Feore,Horror Thriller,Taylor Schilling Peter Mooney Colm Feore Nicholas McCarthy Horror Thriller
Todd Strauss-Schulson,isn't it romantic,Rebel Wilson,Liam Hemsworth,Adam DeVine,Comedy Fantasy Romance,Rebel Wilson Liam Hemsworth Adam DeVine Todd Strauss-Schulson Comedy Fantasy Romance
Christopher Landon,happy death day 2u,Jessica Rothe,Israel Broussard,Phi Vu,Comedy Horror Science Fiction,Jessica Rothe Israel Broussard Phi Vu Christopher Landon Comedy Horror Science Fiction
Robert Rodriguez,alita: battle angel,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Action Science Fiction Adventure,Rosa Salazar Christoph Waltz Jennifer Connelly Robert Rodriguez Action Science Fiction Adventure
Dean DeBlois,how to train your dragon: the hidden world,Jay Baruchel,America Ferrera,Cate Blanchett,Animation Family Adventure,Jay Baruchel America Ferrera Cate Blanchett Dean DeBlois Animation Family Adventure
Stephen Merchant,fighting with my family,Florence Pugh,Lena Headey,Nick Frost,Comedy,Florence Pugh Lena Headey Nick Frost Stephen Merchant Comedy
Tyler Perry,tyler perry's a madea family funeral,Tyler Perry,Courtney Burrell,Patrice Lovely,Comedy,Tyler Perry Courtney Burrell Patrice Lovely Tyler Perry Comedy
Neil Jordan,greta,Isabelle Huppert,Chloë Grace Moretz,Maika Monroe,Drama Mystery Thriller Horror,Isabelle Huppert Chloë Grace Moretz Maika Monroe Neil Jordan Drama Mystery Thriller Horror
J. C. Chandor,triple frontier,Ben Affleck,Oscar Isaac,Charlie Hunnam,Action Thriller Crime Adventure,Ben Affleck Oscar Isaac Charlie Hunnam J. C. Chandor Action Thriller Crime Adventure
"Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law",captain marvel,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Action Adventure Science Fiction,"Brie Larson Samuel L. Jackson Ben Mendelsohn Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law Action Adventure Science Fiction"
Vincent D'Onofrio,the kid,Ethan Hawke,Dane DeHaan,Jake Schur,Western Drama,Ethan Hawke Dane DeHaan Jake Schur Vincent D'Onofrio Western Drama
"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver",wonder park,Brianna Denski,Ken Hudson Campbell,Matthew Broderick,Comedy Animation Adventure Family Fantasy,"Brianna Denski Ken Hudson Campbell Matthew Broderick Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver Comedy Animation Adventure Family Fantasy"
Rupert Wyatt,captive state,John Goodman,Ashton Sanders,Jonathan Majors,Science Fiction,John Goodman Ashton Sanders Jonathan Majors Rupert Wyatt Science Fiction
Katt Shea,nancy drew and the hidden staircase,Sophia Lillis,Zoe Renee,Mackenzie Graham,Crime Family Comedy Mystery,Sophia Lillis Zoe Renee Mackenzie Graham Katt Shea Crime Family Comedy Mystery
James Kent,the aftermath,Alexander Skarsgård,Keira Knightley,Jason Clarke,War Drama Romance,Alexander Skarsgård Keira Knightley Jason Clarke James Kent War Drama Romance
Justin Baldoni,five feet apart,Cole Sprouse,Haley Lu Richardson,unknown,Romance Drama,Cole Sprouse Haley Lu Richardson unknown Justin Baldoni Romance Drama
John Lee Hancock,the highwaymen,Kevin Costner,Woody Harrelson,Kathy Bates,Crime Drama Thriller,Kevin Costner Woody Harrelson Kathy Bates John Lee Hancock Crime Drama Thriller
Robert Rodriguez,red 11,Roby Attal,Lauren Hatfield,Alejandro Rose Garcia,Thriller Science Fiction,Roby Attal Lauren Hatfield Alejandro Rose Garcia Robert Rodriguez Thriller Science Fiction
Ivan Kavanagh,never grow old,Emile Hirsch,Tim Ahern,Déborah François,Western,Emile Hirsch Tim Ahern Déborah François Ivan Kavanagh Western
Jesse V. Johnson,triple threat,Tony Jaa,Iko Uwais,Tiger Chen,Thriller Action,Tony Jaa Iko Uwais Tiger Chen Jesse V. Johnson Thriller Action
Jordan Peele,us,Lupita Nyong'o,Winston Duke,Shahadi Wright Joseph,Thriller Horror Mystery,Lupita Nyong'o Winston Duke Shahadi Wright Joseph Jordan Peele Thriller Horror Mystery
Anthony Maras,hotel mumbai,Dev Patel,Armie Hammer,Nazanin Boniadi,Thriller History Drama Action,Dev Patel Armie Hammer Nazanin Boniadi Anthony Maras Thriller History Drama Action
Jeff Tremaine,the dirt,Douglas Booth,Iwan Rheon,Machine Gun Kelly,Drama Music History,Douglas Booth Iwan Rheon Machine Gun Kelly Jeff Tremaine Drama Music History
S. Craig Zahler,dragged across concrete,Mel Gibson,Vince Vaughn,Michael Jai White,Crime Action Thriller,Mel Gibson Vince Vaughn Michael Jai White S. Craig Zahler Crime Action Thriller
Tim Burton,dumbo,Colin Farrell,Michael Keaton,Danny DeVito,Animation Family,Colin Farrell Michael Keaton Danny DeVito Tim Burton Animation Family
Harmony Korine,the beach bum,Matthew McConaughey,Zac Efron,Jonah Hill,Comedy,Matthew McConaughey Zac Efron Jonah Hill Harmony Korine Comedy
"Chuck Konzelman, Cary Soloman",unplanned,Ashley Bratcher,Brooks Ryan,Robia Scott,Drama,"Ashley Bratcher Brooks Ryan Robia Scott Chuck Konzelman, Cary Soloman Drama"
David F. Sandberg,shazam!,Zachary Levi,Asher Angel,Mark Strong,Action Comedy Fantasy,Zachary Levi Asher Angel Mark Strong David F. Sandberg Action Comedy Fantasy
"Kevin Kolsch, Dennis Widmyer",pet sematary,Jason Clarke,Amy Seimetz,John Lithgow,Horror Thriller,"Jason Clarke Amy Seimetz John Lithgow Kevin Kolsch, Dennis Widmyer Horror Thriller"
Robin Bissell,the best of enemies,Taraji P. Henson,Sam Rockwell,unknown,Drama History,Taraji P. Henson Sam Rockwell unknown Robin Bissell Drama History
Claire Denis,high life,Robert Pattinson,Juliette Binoche,André Benjamin,Science Fiction Drama Mystery Thriller,Robert Pattinson Juliette Binoche André Benjamin Claire Denis Science Fiction Drama Mystery Thriller
Brie Larson,unicorn store,Brie Larson,Samuel L. Jackson,Joan Cusack,Fantasy Drama Comedy,Brie Larson Samuel L. Jackson Joan Cusack Brie Larson Fantasy Drama Comedy
Daniel Farrands,the haunting of sharon tate,Hilary Duff,Jonathan Bennett,Lydia Hearst,Horror Thriller,Hilary Duff Jonathan Bennett Lydia Hearst Daniel Farrands Horror Thriller
Emma Tammi,the wind,Caitlin Gerard,Ashley Zukerman,Julia Goldani Telles,Western Horror Thriller,Caitlin Gerard Ashley Zukerman Julia Goldani Telles Emma Tammi Western Horror Thriller
John R. Leonetti,the silence,Kiernan Shipka,Stanley Tucci,Miranda Otto,Horror Drama Thriller Fantasy,Kiernan Shipka Stanley Tucci Miranda Otto John R. Leonetti Horror Drama Thriller Fantasy
Neil Marshall,hellboy,David Harbour,Milla Jovovich,Ian McShane,Fantasy Action Adventure Science Fiction,David Harbour Milla Jovovich Ian McShane Neil Marshall Fantasy Action Adventure Science Fiction
Tina Gordon,little,Issa Rae,Regina Hall,Marsai Martin,Thriller Crime,Issa Rae Regina Hall Marsai Martin Tina Gordon Thriller Crime
Chris Butler,missing link,Hugh Jackman,Zach Galifianakis,Zoe Saldana,Family Animation Comedy Adventure Fantasy,Hugh Jackman Zach Galifianakis Zoe Saldana Chris Butler Family Animation Comedy Adventure Fantasy
Jenny Gage,after,Josephine Langford,Hero Fiennes Tiffin,Selma Blair,Romance Drama,Josephine Langford Hero Fiennes Tiffin Selma Blair Jenny Gage Romance Drama
Alex Ross Perry,her smell,Elisabeth Moss,Cara Delevingne,Dan Stevens,Drama Music,Elisabeth Moss Cara Delevingne Dan Stevens Alex Ross Perry Drama Music
Roxann Dawson,breakthrough,Chrissy Metz,Josh Lucas,Topher Grace,Drama,Chrissy Metz Josh Lucas Topher Grace Roxann Dawson Drama
Alastair Fothergill,penguins,Alastair Fothergill (director),Jeff Wilson (co-director); Ed Helms,unknown,Family Animation Adventure Comedy,Alastair Fothergill (director) Jeff Wilson (co-director); Ed Helms unknown Alastair Fothergill Family Animation Adventure Comedy
